,supply_source,node_i_id,node_i_hsm_region,node_i_census_region,node_i_census_division,i_latitude,i_longitude,node_i_type,FmnID,node_j_id,state,area_mi2,j_longitude,j_latitude,rrc,node_j_hsm_region,node_j_census_division,node_j_census_region,storage_aors_existing,node_id,route_id,pipeline_type,node_j_type,operational_status,field_name,existing_throughput_tonnes,pipe_cost_region,pipeline_miles,Region,average_electricity,pipe_segment,pipe_capex_intercept,pipe_capex_slope,min_throughput_tonnes,max_throughput_tonnes
0,St Marys Cement INC,f1005629,1.0,2,3,45.3164,-85.2948,cement,St. Peter7,s199,MI,2100.0,-84.296,45.3721,0.0,1,3,2,0.0,s199,f1005629 - s199,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
1,BECKVILLE GAS PROCESSING PLANT,f1012062,2.0,3,7,32.2356,-94.4861,ng_processing,Paluxy3,s164,TX,11534.0,-95.243,32.3169,6.0,2,7,3,0.0,s164,f1012062 - s164,source_to_storage,storage,N,,,SWCA,5.0,SWCA,0.0,s1,0,0.9515,0,50000000.0
2,facility_pp_natgas_1943,fc1943_cluster,,1,2,40.3855,-79.806,pp_natgas,Rose Run3,s186,PA,8201.0,-78.8689,40.9262,0.0,1,2,1,0.0,s186,fc1943_cluster - s186,source_to_storage,storage,N,,,MA,5.0,MA,0.0,s1,0,1.1776,0,50000000.0
3,HOLCIM (US) INC. D/B/A LAFARGE ALPENA,f1005874,1.0,2,3,45.0722,-83.4048,cement,St. Peter7,s199,MI,2100.0,-84.296,45.3721,0.0,1,3,2,0.0,s199,f1005874 - s199,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
4,RIVER CEMENT COMPANY DBA BUZZI UNICEM USA,f1003002,3.0,2,4,38.1804,-90.3366,cement,Mount Simon3,s136,IL,20633.0,-89.239,39.9199,0.0,1,3,2,0.0,s136,f1003002 - s136,source_to_storage,storage,N,,,GP,5.0,GP,0.0,s1,0,0.7074,0,50000000.0
5,Holcim (US) INC JOPPA PLANT,f1000243,1.0,2,3,37.2168,-88.8798,cement,Knox1,s92,IL,10500.0,-88.8089,38.8847,0.0,1,3,2,0.0,s92,f1000243 - s92,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
6,facility_beccs_2018,fc2018_cluster,,2,3,42.0372,-86.5322,beccs,Mount Simon7,s140,MI,5446.0,-85.7774,42.2856,0.0,1,3,2,0.0,s140,fc2018_cluster - s140,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
7,facility_ammonia_2009,fc2009_cluster,,3,3,42.0372,-86.5322,ammonia,Mount Simon7,s140,MI,5446.0,-85.7774,42.2856,0.0,1,3,2,0.0,s140,fc2009_cluster - s140,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
8,HOLCIM (US) INC STE GENEVIEVE PLANT,f1007563,3.0,2,4,38.1099,-90.2579,cement,Mount Simon3,s136,IL,20633.0,-89.239,39.9199,0.0,1,3,2,0.0,s136,f1007563 - s136,source_to_storage,storage,N,,,GP,5.0,GP,0.0,s1,0,0.7074,0,50000000.0
9,THE ANDERSONS MARATHON HOLDINGS LLC MI,f1007933,1.0,2,3,42.2596,-84.7897,ethanol,Mount Simon7,s140,MI,5446.0,-85.7774,42.2856,0.0,1,3,2,0.0,s140,f1007933 - s140,source_to_storage,storage,N,,,GL,5.0,GL,0.0,s1,0,1.0649,0,50000000.0
