Notes,,,,,,,,,,,
year,Bakken,Eagleford,Woodford,Austin_Chalk,Spraberry,Niobrara_Codell,Bonespring,Monterey,Wolfcamp,Utica,Other
1990,0.004,0,0,0,0,0,0,0,0,0,1.047
1991,0.007,0,0,0,0,0,0,0,0,0,1.077
1992,0.006,0,0,0,0,0,0,0,0,0,1.054
1993,0.006,0,0,0,0,0,0,0,0,0,1.019
1994,0.004,0,0,0,0,0,0,0,0,0,0.971
1995,0.003,0,0,0,0,0,0,0,0,0,0.915
1996,0.002,0,0,0,0,0,0,0,0,0,0.891
1997,0.002,0,0,0,0,0,0,0,0,0,0.909
1998,0.002,0,0,0,0,0,0,0,0,0,0.89
1999,0.001,0,0,0,0,0,0,0,0,0,0.789
2000,0.019,0,0.001,0.067,0.076,0.015,0.01,0.061,0.041,0,0.18
2001,0.017,0,0,0.058,0.076,0.017,0.01,0.063,0.038,0,0.19
2002,0.017,0,0,0.048,0.072,0.019,0.009,0.066,0.038,0,0.19
2003,0.02,0,0,0.043,0.072,0.022,0.009,0.062,0.037,0,0.18
2004,0.031,0,0.001,0.041,0.073,0.026,0.01,0.061,0.033,0,0.18
2005,0.052,0,0.001,0.041,0.079,0.028,0.01,0.059,0.032,0,0.18
2006,0.063,0,0,0.041,0.082,0.032,0.01,0.057,0.032,0,0.18
2007,0.074,0,0.001,0.041,0.093,0.036,0.013,0.055,0.034,0,0.18
2008,0.121,0.001,0.002,0.042,0.115,0.045,0.017,0.05,0.034,0,0.19
2009,0.176,0.003,0.004,0.037,0.132,0.047,0.021,0.046,0.033,0,0.19
2010,0.271,0.033,0.006,0.036,0.165,0.053,0.029,0.044,0.036,0,0.21
2011,0.388,0.21,0.012,0.038,0.222,0.07,0.053,0.046,0.052,0,0.27
2012,0.638,0.566,0.02,0.037,0.251,0.099,0.097,0.047,0.09,0.002,0.33
2013,0.844,0.973,0.035,0.035,0.275,0.146,0.153,0.047,0.152,0.01,0.41
2014,1.078,1.373,0.051,0.035,0.292,0.231,0.219,0.043,0.324,0.03,0.47
2015,1.177,1.5,0.072,0.043,0.297,0.309,0.271,0.04,0.538,0.064,0.55
2016,1.024,1.178,0.078,0.044,0.318,0.291,0.255,0.034,0.719,0.051,0.48
2017,1.059,1.094,0.078,0.073,0.394,0.335,0.282,0.031,1.067,0.046,0.5
2018,1.255,1.187,0.096,0.105,0.574,0.445,0.418,0.03,1.7,0.054,0.61
2019,1.416,1.237,0.108,0.111,0.744,0.515,0.549,0.029,2.243,0.065,0.69
2020,1.18,1.06,0.10,0.10, 0.61 ,0.45,0.5,0.03,2.63,0.05,0.57
2021,1.11,0.96,0.09,0.11, 0.67 ,0.41,0.61,0.02,2.75,0.04,0.51
2022,1.06,0.97,0.09,0.12, 0.83 ,0.43,0.81,0.02,2.99,0.05,0.54
2023,1.19,1,0.09,0.13, 0.96 ,0.45,0.94,0.02,3.24,0.06,0.54
,,,,,,,,,,,
